DISTRICT,INSTITUTE NAME,BRANCH NAME,SEAT TYPE,MODIFIED SEAT TYPE,CLOSING RANK,GENDER
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,OPEN,14782,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,OPEN,23024,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,EWS,2267,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,EWS,4265,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,OBC,5231,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,OBC,8720,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",SC,SC,2587,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",SC,SC,4293,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",ST,ST,977,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",ST,ST,1750,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,OPEN,3685,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,OPEN,7557,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),OPEN,197,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,EWS,466,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,EWS,1025,Female-only
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,OBC,1237,Gender-Neutral
Bhubaneswar,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,OBC,3291,Female-only
